Model of Vertebrates,,pcs,0,3,3,0,0,0,In Good Condition,Science Equipment,Supplied by DepEd,
"Plastic Thermometer, Celsius Scale",,,0,,,0,0,0,In Good Condition,Science Equipment,Supplied by DepEd,
Set of Measuring Cups and Spoons,,,0,,,0,0,0,In Good Condition,Science Equipment,Supplied by DepEd,
Weighing Scale (Bathroom Type),,,0,,,0,0,0,In Good Condition,Science Equipment,Supplied by DepEd,
Weighing scale w/ Height Measuring Stick (DETECTO),,pc,0,1,1,0,0,0,In Good Condition,Science Equipment,Supplied by DepEd,
12-inch Plastic Ruler,,pcs,0,10,10,0,0,0,In Good Condition,School Property,Supplied by DepEd,
Alcohol Thermometer,,pcs,0,5,5,0,0,0,In Good Condition,School Property,Supplied by DepEd,
Backboard Triangle,,,0,,,0,0,0,In Good Condition,School Property,Supplied by DepEd,
Basic 3-Dimensional Model,,,0,,,0,0,0,In Good Condition,School Property,Supplied by DepEd,
Cuisenaire rods/number sticks 250/set,,pc,0,1,1,0,0,0,In Good Condition,School Property,Supplied by DepEd,
"Degital Clock, Table Top",,,0,,,0,0,0,In Good Condition,School Property,Supplied by DepEd,
Manipulative Electricity Consumption Meter Model,,pcs,0,2,2,0,0,0,In Good Condition,School Property,Supplied by DepEd,
Manipulative Water Consumption Meter Model,,,0,,,0,0,0,In Good Condition,School Property,Supplied by DepEd,
Protractor (for student),,pcs,0,25,25,0,0,0,In Good Condition,School Property,Supplied by DepEd,
Sphere with 32 Movable Segments,,pcs,0,1,1,0,0,0,In Good Condition,School Property,Supplied by DepEd,
"Square Tiles, 10 cm X 10 CM, plastic",,pcs,0,10,10,0,0,0,In Good Condition,School Property,Supplied by DepEd,
"Square Tiles, 2.54 cm X  CM, plastic",,pcs,0,100,100,0,0,0,In Good Condition,School Property,Supplied by DepEd,
Template Shapes,,,0,,,0,0,0,In Good Condition,School Property,Supplied by DepEd,
"Weighing Scale, analogue type, 5kg. capacity",,pc,0,1,1,0,0,0,In Good Condition,School Property,Supplied by DepEd,
Base Ten Blocks,,,0,,,0,0,0,In Good Condition,School Property,Supplied by DepEd,
First Aide Kit,,pc,0,1,1,0,0,0,In Good Condition,School Property,Supplied by DepEd,
Fraction Kit,,,0,,,0,0,0,In Good Condition,School Property,Supplied by DepEd,
Freshwater Aquarium,,pc,0,1,1,0,0,0,In Good Condition,School Property,Supplied by DepEd,
Geoboard,,,0,,,0,0,0,In Good Condition,School Property,Supplied by DepEd,
Meter stick,,,0,,,0,0,0,In Good Condition,School Property,Supplied by DepEd,
Models for Deriving Formula for Volume Linking Cubes,,,0,,,0,0,0,In Good Condition,School Property,Supplied by DepEd,
Pattern Blocks,,pcs,0,2,2,0,0,0,In Good Condition,School Property,Supplied by DepEd,
Scientific Calculator,,,0,,,0,0,0,In Good Condition,School Property,Supplied by DepEd,
"Storage Cabinet for Mathematics, Steel",,pc,0,1,1,0,0,0,In Good Condition,School Property,Supplied by DepEd,
"Storage Cabinet for Science, Steel",,pc,0,1,1,0,0,0,In Good Condition,School Property,Supplied by DepEd,
Ang Dula (Blue),,,0,,,0,0,0,In Good Condition,Reading Materials,Supplied by DepEd,
Ang Dula (Red),,,0,,,0,0,0,In Good Condition,Reading Materials,Supplied by DepEd,
Ang Idolo ni Beatrice (Red and Blue),,,0,,,0,0,0,In Good Condition,Reading Materials,Supplied by DepEd,
Ang mga Pambansang Produkto (Blue),,,0,,,0,0,0,In Good Condition,Reading Materials,Supplied by DepEd,
Ang mga Pambansang Produkto (Red),,,0,,,0,0,0,In Good Condition,Reading Materials,Supplied by DepEd,
Ang Pagyanig (Red),,,0,,,0,0,0,In Good Condition,Reading Materials,Supplied by DepEd,
Ang Pamamasyal ni Korina (Blue) ,,,0,,,0,0,0,In Good Condition,Reading Materials,Supplied by DepEd,
Ang Pamamasyal ni Korina (Red),,,0,,,0,0,0,In Good Condition,Reading Materials,Supplied by DepEd,
Bata Bantayaw,,,0,,,0,0,0,In Good Condition,Reading Materials,Supplied by DepEd,
Benjie's Long Trip,,,0,,,0,0,0,In Good Condition,Reading Materials,Supplied by DepEd,
Bounty in Our Hands (Chapter 1 to 4) Blue and Red,,,0,,,0,0,0,In Good Condition,Reading Materials,Supplied by DepEd,
"Great Investors, Inspiring Inventions (Chapter 1 to 6) Blue and Red",,,0,,,0,0,0,In Good Condition,Reading Materials,Supplied by DepEd,
Kabang Asong Bayani (Red and Blue),,,0,,,0,0,0,In Good Condition,Reading Materials,Supplied by DepEd,
Kuwento sa Magkapatid na Daga (Red),,,0,,,0,0,0,In Good Condition,Reading Materials,Supplied by DepEd,
Let's Learn About Ecosystem (Chapter 1 to 6) Blue and Red,,,0,,,0,0,0,In Good Condition,Reading Materials,Supplied by DepEd,
Loro Gets Stuck (Chapter 1 to 4) Blue and Red,,,0,,,0,0,0,In Good Condition,Reading Materials,Supplied by DepEd,
Maligayang Pagdating Sa Baguio (Red),,,0,,,0,0,0,In Good Condition,Reading Materials,Supplied by DepEd,
Mga Bayani sa Komunidad (Blued),,,0,,,0,0,0,In Good Condition,Reading Materials,Supplied by DepEd,
Mga Bayani sa Komunidad (Red),,,0,,,0,0,0,In Good Condition,Reading Materials,Supplied by DepEd,
Misteryo sa Villa Soledad (Red),,,0,,,0,0,0,In Good Condition,Reading Materials,Supplied by DepEd,
Mr. Particular,,,0,,,0,0,0,In Good Condition,Reading Materials,Supplied by DepEd,
Mrs. Post's Science Class,,,0,,,0,0,0,In Good Condition,Reading Materials,Supplied by DepEd,
Neighbors (Chapter 1 to 4) Blue and Red ,,,0,,,0,0,0,In Good Condition,Reading Materials,Supplied by DepEd,
"PARA, the Brave and Beautiful (Chapter 1 to 4) Blue and Red",,,0,,,0,0,0,In Good Condition,Reading Materials,Supplied by DepEd,
Problem at the Restaurant,,,0,,,0,0,0,In Good Condition,Reading Materials,Supplied by DepEd,
Sa Kalye Sarado (Blue),,,0,,,0,0,0,In Good Condition,Reading Materials,Supplied by DepEd,
Sa Kalye Sarado (Red),,,0,,,0,0,0,In Good Condition,Reading Materials,Supplied by DepEd,
"Si Chico, Si Hasmin (Red and Blue)",,,0,,,0,0,0,In Good Condition,Reading Materials,Supplied by DepEd,
Si Maria Makiling (Red and Blue),,,0,,,0,0,0,In Good Condition,Reading Materials,Supplied by DepEd,
Sina Nina at Nonoy (Blue),,,0,,,0,0,0,In Good Condition,Reading Materials,Supplied by DepEd,
Sina Nina at Nonoy (Red),,,0,,,0,0,0,In Good Condition,Reading Materials,Supplied by DepEd,
"Sino si Bong, Buboy at ang mga Katutubo ng PangkT (Blue)",,,0,,,0,0,0,In Good Condition,Reading Materials,Supplied by DepEd,
"Sino si Bong, Buboy at ang mga Katutubo ng PangkT (Red)",,,0,,,0,0,0,In Good Condition,Reading Materials,Supplied by DepEd,
The Biggest Storm (Chapter 1 to 4) Blue and Red,,,0,,,0,0,0,In Good Condition,Reading Materials,Supplied by DepEd,
the Five Sisters (Chapter 1 to 4) Blue and Red,,,0,,,0,0,0,In Good Condition,Reading Materials,Supplied by DepEd,
The Magic Show (Chapter 1 to 4) Blue and  Red,,,0,,,0,0,0,In Good Condition,Reading Materials,Supplied by DepEd,
The Scavenger Hunt (Chapter 1 to 4) Blue and Red,,,0,,,0,0,0,In Good Condition,Reading Materials,Supplied by DepEd,
Town of Makinang,,,0,,,0,0,0,In Good Condition,Reading Materials,Supplied by DepEd,
Wonders in the Sky (Chapter 1 to 6) Blue and Red,,,0,,,0,0,0,In Good Condition,Reading Materials,Supplied by DepEd,
Straight Scissors (Stainless) Medium Size,,pc,0,1,1,0,0,0,In Good Condition,Dental/Medical Supplies,Supplied by DepEd,
Bandage Scissors (Stainless) Medium Size,,pc,0,1,1,0,0,0,In Good Condition,Dental/Medical Supplies,Supplied by DepEd,
Stethoscope (Ordinary),,pc,0,1,1,0,0,0,In Good Condition,Dental/Medical Supplies,Supplied by DepEd,
BPApparatus (Digital),,pc,0,1,1,0,0,0,In Good Condition,Dental/Medical Supplies,Supplied by DepEd,
Pulse Oximeter,,pc,0,1,1,0,0,0,In Good Condition,Dental/Medical Supplies,Supplied by DepEd,
Digital Thermal Scanner Gun,,pc,0,1,1,0,0,0,In Good Condition,Dental/Medical Supplies,Supplied by DepEd,
Glucometer,,pc,0,1,1,0,0,0,In Good Condition,Dental/Medical Supplies,Supplied by DepEd,
Pick Up Forceps (Curved) Medium Size,,pc,0,1,1,0,0,0,In Good Condition,Dental/Medical Supplies,Supplied by DepEd,
Pick Up Forceps (Straight) Medium Size,,pc,0,1,1,0,0,0,In Good Condition,Dental/Medical Supplies,Supplied by DepEd,
Medicine Cabinet (Steel),,pc,0,1,1,0,0,0,In Good Condition,Dental/Medical Supplies,Supplied by DepEd,
Autoclave Steam Sterilizer,,pcs,48000,1,1,0,0,"48,000.00",In Good Condition,Dental/Medical Supplies,Supplied by DepEd,
dental Surgical Instruments,,set,5200,1,1,0,0,"5,200.00",In Good Condition,Dental/Medical Supplies,Supplied by DepEd,
Glass Ionomer Restorative Cement Kit,,boxes,2100,5,5,0,0,"10,500.00",In Good Condition,Dental/Medical Supplies,Supplied by DepEd,
Sealant,,boxes,1898,5,5,0,0,"9,490.00",In Good Condition,Dental/Medical Supplies,Supplied by DepEd,
Dental Needle Short,,pcs,400,100,100,0,0,"40,000.00",In Good Condition,Dental/Medical Supplies,Supplied by DepEd,
Dental Needle Long,,pcs,400,100,100,0,0,"40,000.00",In Good Condition,Dental/Medical Supplies,Supplied by DepEd,
Mouth Mirror with Handle #5,,pcs,100,50,50,0,0,"5,000.00",In Good Condition,Dental/Medical Supplies,Supplied by DepEd,
Wilken's Explorer 17/23,,pcs,150,50,50,0,0,"7,500.00",In Good Condition,Dental/Medical Supplies,Supplied by DepEd,
Spoon Excavators,,pcs,150,50,50,0,0,"7,500.00",In Good Condition,Dental/Medical Supplies,Supplied by DepEd,
Cotton Pliers,,pcs,150,150,150,0,0,"22,500.00",In Good Condition,Dental/Medical Supplies,Supplied by DepEd,
"Restorative Burs Set (Round, Inverted, F&G Burs)",,pcs,100,50,50,0,0,"5,000.00",In Good Condition,Dental/Medical Supplies,Supplied by DepEd,
Dental Chair,,pc,0,1,1,0,0,0.00,In Good Condition,Dental/Medical Supplies,Supplied by DepEd,
Big Size Dentist Stool VIC - 146,,pc,0,1,1,0,0,0.00,In Good Condition,Dental/Medical Supplies,Supplied by DepEd,
Air Compressor,,pc,0,1,1,0,0,0.00,In Good Condition,Dental/Medical Supplies,Supplied by DepEd,
Hand Piece,,sets,0,3,3,0,0,0.00,In Good Condition,Dental/Medical Supplies,Supplied by DepEd,
"Nebulizer, Portable",,pc,1635.9,1,1,0,0,"1,635.90",In Good Condition,Dental/Medical Supplies,Supplied by DepEd,
"Oxygen Tank with Regulator and Nasal Cannula, 15 Li capacity",,pc,4219.42,1,1,0,0,"4,219.42",In Good Condition,Dental/Medical Supplies,Supplied by DepEd,
Wheelchair,,pc,4788,1,1,0,0,"4,788.00",In Good Condition,Dental/Medical Supplies,Supplied by DepEd,
Stretcher,,pc,8758.05,1,1,0,0,"8,758.05",In Good Condition,Dental/Medical Supplies,Supplied by DepEd,
Weighing scale w/ Height Measuring Stick (DETECTO),,pc,"11,820.38",1,1,0,0,"11,820.38",In Good Condition,Dental/Medical Supplies,Supplied by DepEd,
Armchair  (Wood and Steel),,,0,,,0,0,0.00,In Good Condition,Dental/Medical Supplies,Supplied by DepEd,
Armchair (All Wood),,,0,,,0,0,0.00,In Good Condition,Dental/Medical Supplies,Supplied by DepEd,
Armchair (Plastic and Steel_,,,0,,,0,0,0.00,In Good Condition,Dental/Medical Supplies,Supplied by DepEd,
